ID,year,month,day,name,route_id,Nombre Ref 1,Link Ref 1,Nombre Ref 2,Link Ref 2,Nombre Ref 3,Link Ref 3,Nombre Ref 4,Link Ref 4
272,1964,2,,Tercera Ascensión.,763,,,,,,,,
273,1964,2,13,Primera Absoluta.,128,,,,,,,,
274,1964,2,13,Primera Absoluta.,126,,,,,,,,
275,1964,2,17,Primera Absoluta.,767,,,,,,,,
276,1964,2,17,Primera Absoluta.,757,,,,,,,,
277,1964,2,20,Primera Absoluta.,616,,,,,,,,
278,1964,2,26,Primera Absoluta.,392,,,,,,,,
279,1964,11,24,Segunda Ascensión y primera por el Filo Sur.,321,,,,,,,,
280,1964,11,24,Segunda Ascensión y Primera por el Filo Sur.,318,,,,,,,,
281,1964,11,24,Primera Ascensión por el Filo Sur.,438,,,,,,,,
282,1965,,,Primera Ascensión por la Arista NE.,588,,,,,,,,
283,1965,2,1,Primera Absoluta.,598,,,,,,,,
284,1965,2,16,Primera Absoluta.,592,,,,,,,,
285,1965,2,16,Primera Ascensión por la Arista Norte.,593,,,,,,,,
286,1965,2,16,Primera Ascensiónpor la Arista Oeste.,578,,,,,,,,
287,1965,2,24,Primera Ascensión desde el Glaciar Juncal Sur.,569,,,,,,,,
288,1965,11,10,Primera Absoluta.,431,,,,,,,,
289,1965,12,8,Primera Absoluta a la Cumbre Sur.,556,,,,,,,,
290,1966,,,Apertura Ruta Ambrus - Oyarzún. Pared Sur.,422,,,,,,,,
291,1966,,,Apertura del Espolón Arévalo.,421,,,,,,,,
292,1966,1,2,Primera Ascensión por el Filo Oeste.,653,,,,,,,,
293,1966,1,27,Primera Absoluta.,895,,,,,,,,
294,1966,1,27,Primera Absoluta.,894,,,,,,,,
295,1966,4,9,Apertura de la Ruta Mañke a la Pared Sur.,438,,,,,,,,
296,1967,,,Segunda Ascensión. Primera por la Pared Sur.,399,,,,,,,,
297,1967,2,10,Apertura Ruta Directa a la Pared Sur.,438,,,,,,,,
298,1969,,,Primera Absoluta.,201,,,,,,,,
299,1969,,,Primera Escalada de la Pared Sur.,319,,,,,,,,
300,1969,12,,Apertura Ruta Checa Pared Sur.,438,,,,,,,,
301,1969,12,7,Primera Absoluta.,679,,,,,,,,
302,1970,2,17,Segunda Ascensión a la Pared Sur.,316,,,,,,,,
303,1971,2,11,Primera Absoluta.,94,,,,,,,,
304,1974,,,Primera por Glaciar SE.,653,,,,,,,,
305,1974,12,15,Nueva ruta por la Cara Sur.,437,,,,,,,,
306,1974,11,,Primera por la Canaleta NO.,653,,,,,,,,
307,1974,12,23,Primera por la Cara Sur.,630,,,,,,,,
308,1975,1,,Primera Absoluta.,773,,,,,,,,
309,1976,1,25,Primera Absoluta a la cumbre NE.,561,,,,,,,,
310,1976,2,4,Primera Absoluta.,199,,,,,,,,
311,1976,2,15,Primera Absoluta.,585,,,,,,,,
312,1977,1,10,Primera Absoluta.,876,,,,,,,,
